"tp","fp","method"
0.286570745104809,0.00136413406556563,"ICE"
0.286045810721607,0.00136413406556563,"ICE"
0.272824117550594,0.00122457099640738,"ICE"
0.260802686123099,0.000961251061461881,"ICE"
0.258165083719706,0.000926135450302275,"ICE"
0.24421779563158,0.000838259110562062,"ICE"
0.243167926865176,0.000838259110562062,"ICE"
0.224363268478457,0.000646180526548304,"ICE"
0.207801470572765,0.000558746383895026,"ICE"
0.207014068997962,0.000558746383895026,"ICE"
0.190771817655526,0.000418657927965486,"ICE"
0.190246883272324,0.000418657927965486,"ICE"
0.176346610265503,0.000348942142699474,"ICE"
0.156599232606901,0.000244540963883559,"ICE"
0.156599232606901,0.000244540963883559,"ICE"
0.141679783381389,0.00020951448361911,"ICE"
0.140892381806586,0.00020951448361911,"ICE"
0.118079645036356,0.000121843299729272,"ICE"
0.100780981462869,6.98497833021861e-05,"ICE"
0.100518514271268,6.98497833021861e-05,"ICE"
0.0806177118799129,1.75192711983181e-05,"ICE"
0.0798303103051098,1.75192711983181e-05,"ICE"
0.0649219458753937,1.75192711983181e-05,"ICE"
0.0477627394974823,0,"ICE"
0.0477627394974823,0,"ICE"
0.0404207573521416,0,"ICE"
0.0404207573521416,0,"ICE"
0.0293199570355977,0,"ICE"
0.0290693304691817,0,"ICE"
0.0198785657085738,0,"ICE"
0.0132401266704628,0,"ICE"
0.0132401266704628,0,"ICE"
0.00796394826917418,0,"ICE"
0.00397751694024702,0,"ICE"
0.00397751694024702,0,"ICE"
0.00237854493548121,0,"ICE"
0.00237854493548121,0,"ICE"
0.000812530569909498,0,"ICE"
0.000547278580519578,0,"ICE"
0.000547278580519578,0,"ICE"
0,0,"ICE"
0,0,"ICE"
0,0,"ICE"
0,0,"ICE"
1,1,"NS"
0.994472895629541,0.593384775700746,"NS"
0.982138686371189,0.408713887088066,"NS"
0.958898640176421,0.263386760370597,"NS"
0.924765557198952,0.190589516824858,"NS"
0.887817597446954,0.147414586573697,"NS"
0.860049886007558,0.120416224374394,"NS"
0.840130495256832,0.101387384074783,"NS"
0.816612121025975,0.086325905714929,"NS"
0.796069522025728,0.0744881406573136,"NS"
0.776548575064635,0.0655249534445339,"NS"
0.762581457787365,0.0572478007531711,"NS"
0.745247254529145,0.050048948112672,"NS"
0.725019932391729,0.0452190691853157,"NS"
0.711682255644759,0.0405312611828018,"NS"
0.69739314491946,0.0361383128369618,"NS"
0.685122947358354,0.0328824095200596,"NS"
0.671682826522469,0.0296604051793793,"NS"
0.657827770826167,0.0268596092243104,"NS"
0.643088510087162,0.024093050597488,"NS"
0.627649311994269,0.0218678670625343,"NS"
0.615041505754755,0.0195742255937481,"NS"
0.603980281436108,0.0174552993425229,"NS"
0.590266579265677,0.0155996631332,"NS"
0.574942084464918,0.0140091138115427,"NS"
0.560909650887659,0.0127317569998658,"NS"
0.547157309957703,0.0115386962207354,"NS"
0.534685223096249,0.0103474213526865,"NS"
0.522574962104437,0.00926208012856507,"NS"
0.509127515544016,0.00842005844900944,"NS"
0.498007060195052,0.00750850787637626,"NS"
0.482532189894713,0.00675465317069521,"NS"
0.470443804948378,0.00601829583846516,"NS"
0.458033815364609,0.00525038401182544,"NS"
0.444587961215326,0.00474426537861878,"NS"
0.428219827031462,0.00423859050429196,"NS"
0.415610257810496,0.0038537778464264,"NS"
0.399810757905794,0.00348684659632005,"NS"
0.389688714314842,0.00327639821093125,"NS"
0.375112392702374,0.00304849335470355,"NS"
0.359344222471902,0.00273243189079943,"NS"
